municipio,ano,ndvi_mean,n_imagenes,error,area_cosechada_eva,produccion_eva,area_cana,coherencia
La Victoria,2019,0.5440239654179208,28,,3371.0,185142.05,1607.0,✅ Coherente
La Victoria,2020,0.6123396339247117,34,,3293.5599999999995,186091.04,1607.0,✅ Coherente
La Victoria,2021,0.6302434710060636,22,,3143.6200000000003,178329.99000000002,1580.0,✅ Coherente
La Victoria,2022,0.6233388423445592,20,,2872.21,209163.51,1580.0,✅ Coherente
La Victoria,2023,0.6069629019315207,21,,3052.1200000000003,201863.31,1580.0,✅ Coherente
La Victoria,2024,0.5491905427765206,31,,2909.9300000000003,202048.67,1580.0,✅ Coherente
La Victoria,2025,0.6707191361884255,23,,3050.5099999999998,220468.28,1730.0,✅ Coherente
Obando,2019,0.5573639895943413,48,,9669.5,708090.1000000001,5781.0,✅ Coherente
Obando,2020,0.5990382832805202,63,,13323.0,1075867.6,8918.0,✅ Coherente
Obando,2021,0.583113808623903,33,,13268.04,1078312.21,9018.0,✅ Coherente
Obando,2022,0.6010724510139374,28,,11432.24,835640.33,7108.0,✅ Coherente (Alto NDVI / Alta Area)
Obando,2023,0.5908123515304167,35,,13175.169999999998,1037239.22,8808.5,✅ Coherente
Obando,2024,0.5988113409960204,56,,13197.059999999998,1071403.71,9103.5,✅ Coherente
Obando,2025,0.6518871696618393,38,,13127.22,1071125.4,9103.5,✅ Coherente (Alto NDVI / Alta Area)
Palmira,2019,0.5976242207887332,19,,35849.100000000006,4434312.499999999,34078.0,✅ Coherente
Palmira,2020,0.6124569350186394,22,,36082.40000000001,4430301.25,34078.0,✅ Coherente (Alto NDVI / Alta Area)
Palmira,2021,0.5660971059942832,12,,36082.02,4803860.02,34078.0,✅ Coherente
Palmira,2022,0.5250610457190251,9,,35776.74,4769933.7700000005,34078.0,✅ Coherente
