id_registro,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha,tipo_anomalia
76616_platano_consumo_interno_2023_permanente_en_fresco,Riofrío,Plátano,2023,4063.0,4023.0,32184.0,8.0,Anomalia multivariada (Isolation Forest)
76616_platano_consumo_interno_2024_permanente_en_fresco,Riofrío,Plátano,2024,4073.0,4063.0,32504.0,8.0,Anomalia multivariada (Isolation Forest)
76622_cana_de_azucar_2019_permanente_cana_o_verde,Roldanillo,Caña,2019,2885.3,2719.3,339912.5,125.0,Anomalia multivariada (Isolation Forest)
76622_cana_de_azucar_2020_permanente_cana_o_verde,Roldanillo,Caña,2020,2885.3,2884.3,360562.99,125.01,Anomalia multivariada (Isolation Forest)
76622_cana_de_azucar_2021_permanente_cana_o_verde,Roldanillo,Caña,2021,2887.3,2637.3,316476.0,120.0,Anomalia multivariada (Isolation Forest)
76622_cana_de_azucar_2022_permanente_cana_o_verde,Roldanillo,Caña,2022,2896.63,2887.3,317603.0,110.0,Anomalia multivariada (Isolation Forest)
76622_cana_de_azucar_2023_permanente_cana_o_verde,Roldanillo,Caña,2023,2938.63,2896.63,318629.3,110.0,Anomalia multivariada (Isolation Forest)
76622_cana_de_azucar_2024_permanente_cana_o_verde,Roldanillo,Caña,2024,3126.21,2938.63,323249.3,110.0,Anomalia multivariada (Isolation Forest)
76670_cana_de_azucar_2019_permanente_cana_o_verde,San Pedro,Caña,2019,4970.0,4720.0,599440.0,127.0,Anomalia multivariada (Isolation Forest)
76670_cana_de_azucar_2020_permanente_cana_o_verde,San Pedro,Caña,2020,5524.7,4720.0,599440.0,127.0,Anomalia multivariada (Isolation Forest)
76670_cana_de_azucar_2021_permanente_cana_o_verde,San Pedro,Caña,2021,5524.7,4750.0,570000.0,120.0,Anomalia multivariada (Isolation Forest)
76670_cana_de_azucar_2022_permanente_cana_o_verde,San Pedro,Caña,2022,5544.7,5524.7,524846.5,95.0,Anomalia multivariada (Isolation Forest)
76670_cana_de_azucar_2023_permanente_cana_o_verde,San Pedro,Caña,2023,5544.7,5544.7,526746.5,95.0,Anomalia multivariada (Isolation Forest)
76670_cana_de_azucar_2024_permanente_cana_o_verde,San Pedro,Caña,2024,5694.7,5544.7,526746.5,95.0,Anomalia multivariada (Isolation Forest)
76736_cafe_2019_permanente_pergamino_o_seco_de_trilla,Sevilla,Café,2019,5320.0,4037.0,5346.0,1.32,Anomalia multivariada (Isolation Forest)
76736_cafe_2020_permanente_pergamino_o_seco_de_trilla,Sevilla,Café,2020,5243.0,5243.0,6291.6,1.2,Anomalia multivariada (Isolation Forest)
76736_cafe_2021_permanente_pergamino_o_seco_de_trilla,Sevilla,Café,2021,5259.49,4034.49,4034.49,1.0,Anomalia multivariada (Isolation Forest)
76736_cafe_2022_permanente_pergamino_o_seco_de_trilla,Sevilla,Café,2022,5259.98,4071.57,6353.8,1.56,Anomalia multivariada (Isolation Forest)
76736_cafe_2023_permanente_pergamino_o_seco_de_trilla,Sevilla,Café,2023,5253.18,4031.14,5340.83,1.32,Anomalia multivariada (Isolation Forest)
76736_cafe_2024_permanente_pergamino_o_seco_de_trilla,Sevilla,Café,2024,5203.28,4026.76,7974.44,1.98,Anomalia multivariada (Isolation Forest)
76736_platano_consumo_interno_2019_permanente_en_fresco,Sevilla,Plátano,2019,4283.0,4083.0,40830.0,10.0,Anomalia multivariada (Isolation Forest)
76736_platano_consumo_interno_2020_permanente_en_fresco,Sevilla,Plátano,2020,4314.0,4314.0,30198.0,7.0,Anomalia multivariada (Isolation Forest)
76736_platano_consumo_interno_2021_permanente_en_fresco,Sevilla,Plátano,2021,4324.0,4294.0,30100.94,7.01,Anomalia multivariada (Isolation Forest)
76736_platano_consumo_interno_2022_permanente_en_fresco,Sevilla,Plátano,2022,4325.0,4324.0,77832.0,18.0,Anomalia multivariada (Isolation Forest)
76736_platano_consumo_interno_2023_permanente_en_fresco,Sevilla,Plátano,2023,4325.0,4325.0,77850.0,18.0,Anomalia multivariada (Isolation Forest)
76736_platano_consumo_interno_2024_permanente_en_fresco,Sevilla,Plátano,2024,4538.0,4322.0,77796.0,18.0,Anomalia multivariada (Isolation Forest)
76823_cana_de_azucar_2019_permanente_cana_o_verde,Toro,Caña,2019,2045.0,2034.0,223740.0,110.0,Anomalia multivariada (Isolation Forest)
76823_cana_de_azucar_2021_permanente_cana_o_verde,Toro,Caña,2021,1994.0,1994.0,219340.0,110.0,Anomalia multivariada (Isolation Forest)
76823_cana_de_azucar_2022_permanente_cana_o_verde,Toro,Caña,2022,1994.0,1994.0,219340.0,110.0,Anomalia multivariada (Isolation Forest)
76823_cana_de_azucar_2023_permanente_cana_o_verde,Toro,Caña,2023,1994.0,1994.0,219340.0,110.0,Anomalia multivariada (Isolation Forest)
76823_cana_de_azucar_2024_permanente_cana_o_verde,Toro,Caña,2024,2224.0,1994.0,219340.0,110.0,Anomalia multivariada (Isolation Forest)
76828_platano_consumo_interno_2019_permanente_en_fresco,Trujillo,Plátano,2019,3506.5,3477.0,27816.0,8.0,Anomalia multivariada (Isolation Forest)
76828_platano_consumo_interno_2020_permanente_en_fresco,Trujillo,Plátano,2020,3511.0,3475.0,27800.0,8.0,Anomalia multivariada (Isolation Forest)
76828_platano_consumo_interno_2021_permanente_en_fresco,Trujillo,Plátano,2021,3526.0,3496.0,34960.0,10.0,Anomalia multivariada (Isolation Forest)
76828_platano_consumo_interno_2022_permanente_en_fresco,Trujillo,Plátano,2022,3526.0,3526.0,38786.0,11.0,Anomalia multivariada (Isolation Forest)
76828_platano_consumo_interno_2023_permanente_en_fresco,Trujillo,Plátano,2023,3545.5,3518.5,38703.5,11.0,Anomalia multivariada (Isolation Forest)
76828_platano_consumo_interno_2024_permanente_en_fresco,Trujillo,Plátano,2024,3645.5,3545.5,39000.5,11.0,Anomalia multivariada (Isolation Forest)
76834_cana_de_azucar_2019_permanente_cana_o_verde,Tuluá,Caña,2019,8130.0,6969.0,766590.0,110.0,Anomalia multivariada (Isolation Forest)
76834_cana_de_azucar_2020_permanente_cana_o_verde,Tuluá,Caña,2020,8130.0,8130.0,804870.0,99.0,Anomalia multivariada (Isolation Forest)
76834_cana_de_azucar_2021_permanente_cana_o_verde,Tuluá,Caña,2021,8130.0,8130.0,739017.0,90.9,Anomalia multivariada (Isolation Forest)
76834_cana_de_azucar_2022_permanente_cana_o_verde,Tuluá,Caña,2022,8130.0,8130.0,731700.0,90.0,Anomalia multivariada (Isolation Forest)
76834_cana_de_azucar_2023_permanente_cana_o_verde,Tuluá,Caña,2023,8130.0,8130.0,813000.0,100.0,Anomalia multivariada (Isolation Forest)
76834_cana_de_azucar_2024_permanente_cana_o_verde,Tuluá,Caña,2024,8130.0,8130.0,813000.0,100.0,Anomalia multivariada (Isolation Forest)
76890_cana_de_azucar_2019_permanente_cana_o_verde,Yotoco,Caña,2019,2924.0,2574.0,308880.0,120.0,Anomalia multivariada (Isolation Forest)
76890_cana_de_azucar_2020_permanente_cana_o_verde,Yotoco,Caña,2020,2924.0,2924.0,350880.0,120.0,Anomalia multivariada (Isolation Forest)
76890_cana_de_azucar_2021_permanente_cana_o_verde,Yotoco,Caña,2021,2924.0,2924.0,350880.0,120.0,Anomalia multivariada (Isolation Forest)
76890_cana_de_azucar_2022_permanente_cana_o_verde,Yotoco,Caña,2022,3174.0,2924.0,350880.0,120.0,Anomalia multivariada (Isolation Forest)
76890_cana_de_azucar_2023_permanente_cana_o_verde,Yotoco,Caña,2023,3174.0,2924.0,350880.0,120.0,Anomalia multivariada (Isolation Forest)
76890_cana_de_azucar_2024_permanente_cana_o_verde,Yotoco,Caña,2024,3344.0,3174.0,380880.0,120.0,Anomalia multivariada (Isolation Forest)
76892_cana_de_azucar_2019_permanente_cana_o_verde,Yumbo,Caña,2019,2228.0,1782.4,213888.0,120.0,Anomalia multivariada (Isolation Forest)
76892_cana_de_azucar_2020_permanente_cana_o_verde,Yumbo,Caña,2020,2228.0,2228.0,267360.0,120.0,Anomalia multivariada (Isolation Forest)
76892_cana_de_azucar_2021_permanente_cana_o_verde,Yumbo,Caña,2021,2158.0,2060.0,247200.0,120.0,Anomalia multivariada (Isolation Forest)
76892_cana_de_azucar_2022_permanente_cana_o_verde,Yumbo,Caña,2022,2010.0,2010.0,274063.5,136.35,Anomalia multivariada (Isolation Forest)
76892_cana_de_azucar_2023_permanente_cana_o_verde,Yumbo,Caña,2023,1800.0,1800.0,245430.0,136.35,Anomalia multivariada (Isolation Forest)
76892_cana_de_azucar_2024_permanente_cana_o_verde,Yumbo,Caña,2024,1800.0,1800.0,239400.0,133.0,Anomalia multivariada (Isolation Forest)
76895_cana_de_azucar_2019_permanente_cana_o_verde,Zarzal,Caña,2019,17315.0,10858.0,1248670.0,115.0,Anomalia multivariada (Isolation Forest)
